date,from_station_id,to_station_id,usertype,Rain
01/01/2015 4,SLU-17,CH-15,S,0
01/01/2015 4,CH-09,CH-08,M,0
01/01/2015 4,CH-09,SLU-01,M,0
01/01/2015 4,CH-15,CH-01,S,0
01/01/2015 4,CH-01,CH-01,S,0
01/01/2015 4,CH-01,CH-01,S,0
01/01/2015 4,CH-01,CH-01,S,0
01/01/2015 4,BT-01,BT-03,S,0
01/01/2015 4,BT-01,BT-03,S,0
01/01/2015 4,SLU-15,SLU-15,S,0
01/01/2015 4,SLU-15,SLU-15,S,0
01/01/2015 4,CH-08,UD-02,S,0
01/01/2015 4,SLU-15,SLU-15,S,0
01/01/2015 4,DPD-01,EL-03,M,0
01/01/2015 4,WF-04,WF-04,S,0
01/01/2015 4,WF-04,WF-04,S,0
01/01/2015 4,CH-07,CBD-13,M,0
01/01/2015 4,WF-01,WF-01,S,0
01/01/2015 4,WF-01,WF-01,S,0
01/01/2015 4,BT-05,CH-09,S,0
01/01/2015 4,CH-03,PS-04,S,0
01/01/2015 4,CH-07,CBD-03,M,0
01/01/2015 4,CH-07,CH-08,M,0
01/01/2015 4,SLU-17,EL-05,S,0
01/01/2015 4,CH-06,SLU-19,M,0
01/01/2015 4,EL-05,UW-04,S,0
01/01/2015 4,CH-09,CH-03,M,0
01/01/2015 4,UD-02,UD-02,S,0
01/01/2015 4,UD-02,UD-02,S,0
01/01/2015 4,SLU-17,EL-03,S,0
01/01/2015 4,SLU-17,EL-03,S,0
01/01/2015 4,CH-02,FH-04,M,0
01/01/2015 4,CH-02,FH-04,M,0
01/01/2015 4,EL-03,SLU-07,S,0
01/01/2015 4,EL-03,SLU-07,S,0
01/01/2015 4,BT-03,SLU-04,M,0
01/01/2015 4,BT-01,WF-04,S,0
01/01/2015 4,CH-07,ID-04,M,0
01/01/2015 4,CH-08,CH-02,M,0
01/01/2015 4,BT-01,WF-04,S,0
01/01/2015 4,CH-07,ID-04,S,0
01/01/2015 4,CH-07,ID-04,S,0
01/01/2015 4,EL-03,SLU-15,M,0
01/01/2015 4,EL-03,SLU-15,M,0
01/01/2015 4,DPD-01,SLU-07,S,0
01/01/2015 4,CH-08,ID-04,S,0
01/01/2015 4,DPD-01,SLU-07,S,0
01/01/2015 4,DPD-01,SLU-07,S,0
01/01/2015 4,DPD-01,SLU-07,S,0
01/01/2015 4,SLU-17,SLU-07,S,0
01/01/2015 4,DPD-01,SLU-07,S,0
01/01/2015 4,UD-02,SLU-02,S,0
01/01/2015 4,DPD-01,SLU-07,S,0
01/01/2015 4,SLU-17,SLU-19,M,0
01/01/2015 4,UW-10,UW-07,S,0
01/01/2015 4,UW-10,UW-07,S,0
01/01/2015 4,SLU-07,SLU-07,S,0
